rating,description,title,url,brand,primary_image_url,image_urls,retailer_sku_code,currency,crawl_time,instock,current_price,price,categories
,"<div id=""description""><h2>Samsung Galaxy S7 Dual SIM SM-G930F Features</h2><div class=""trunc_wrap""><span itemprop=""description""><div class=""what_we_say"">
<h3>What we like about the Samsung Galaxy S7:</h3>
<ul class=""for_list"">
<li><b>Professional-grade Dual Pixel Sensor</b></li>
<li><b>Ingress protection IP68 rating</b></li>
<li><b>Return of the microSD slot for additional storage</b></li>
</ul>
</div>
<b>Design</b><br>
• 5.1-inch Super AMOLED Always-On display, take a peek at time, calendar or notifications without touching or waking the screen<br>
• Unparalleled style without compromising on durability, thanks to IP68-certified ingress protection<br>
<br>
<b>Camera</b><br>
• Enjoy great photos, even in low light, with a super-bright F1.7 lens<br>
• Get blur-free photos with the first-ever Dual Pixel 12MP camera<br>
• See brighter, more vivid colours thanks to a larger, 1.4um pixel image sensor<br>
<br>
<b>Performance</b><br>
• Built-in 3000 mAh battery with fast wireless and wired charging capabilities*<br>
• Store all of your favourite content with the return of the much-loved expandable memory slot - now up to 200 GB<br>
<br>
* Fast charging requires Adaptive Fast Charging (AFC), Quick Charge 2.0-compatible charger or Samsung designated wireless charger to work.</span><ul id=""p_details""><li>Shipping Weight:<strong> 0.40kg</strong></li></ul></div></div>","Samsung Galaxy S7 Dual SIM SM-G930F (Unlocked, 32GB, Gold Platinum)",http://www.expansys.com.sg/samsung-galaxy-s7-unlocked-32gb-gold-platinum-288138/,,http://i2.expansys.com/img/b/288138/samsung-galaxy-s7.jpg,"http://i.expansys.com/i/b/b288138.jpg,http://i.expansys.com/i/b/b288138-1.jpg,http://i.expansys.com/i/b/b288138-2.jpg,http://i.expansys.com/i/b/b288138-3.jpg,http://i.expansys.com/i/b/b288138-4.jpg,http://i.expansys.com/i/b/b288138-5.jpg",288138,,2016-03-09 10:21:55,False,,,"Home,Mobile Phones,SIM Free Phones,Android,Marshmallow 6.0"
,"<div id=""description""><h2>LG G5 Features</h2><div class=""trunc_wrap""><span itemprop=""description""><div class=""what_we_say"">
<h3>What we like about the LG G5:</h3>
<ul class=""for_list"">
<li><b>Stylish metal design with slide-out replaceable battery and USB Type-C port</b></li>
<li><b>Dual rear camera with 135-degree wide angle lens</b></li>
<li><b>Always-on display access time, date, notifications at a glance</b></li>
</ul>
</div>
<b>Always-on Display for Enhanced Convenience</b><br>
The 5.3-inch Quad HD IPS Quantum display on the LG G5 offers an Always-on feature, the first on a main smartphone display. Save your thumbs. No more hitting the button to check the time, date, or notifications. With the LG G5, the important stuff is already up and on! Just look.<br>
<br>
<b>LG’s First Modular Type Smartphone</b><br>
LG’s innovative Modular Type design gives the LG G5 the ability to transform into a digital camera, Hi-Fi player and more all while keeping its traditional removable battery in a full metal uni-body design for the first time ever.<br>
<br>
<b>Extreme Wide Angle Lens and Advanced UX</b><br>
Reflecting LG’s longstanding reputation as a leader in smartphone cameras, the LG G5 has two cameras on the rear: one with a standard 78-degree lens and another with a 135-degree wide angle lens, the widest available in any smartphone. The 135-degree lens on the LG G5 offers a viewing angle that is approximately 1.7 times wider than those of existing smartphone cameras and 15 degrees wider than the human eye’s field of view. The wide angle lens makes it easier for users to capture more landscape, taller buildings or larger groups without having to position oneself further from the subject.</span><ul id=""p_details""><li>Shipping Weight:<strong> 0.46kg</strong></li></ul></div></div>","LG G5 (Unlocked, 32GB, Titan)",http://www.expansys.com.sg/lg-g5-unlocked-32gb-titan-288130/,,http://i1.expansys.com/img/b/288130/lg-g5.jpg,"http://i.expansys.com/i/b/b288130.jpg,http://i.expansys.com/i/b/b288130-1.jpg,http://i.expansys.com/i/b/b288130-2.jpg,http://i.expansys.com/i/b/b288130-3.jpg,http://i.expansys.com/i/b/b288130-4.jpg",288130,,2016-03-09 10:21:59,False,,,"Home,Mobile Phones,SIM Free Phones,Android,Marshmallow 6.0"
100.0,"<div id=""description""><h2>Motorola Moto X Style XT1572 Features</h2><div class=""trunc_wrap""><span itemprop=""description"">Looking for a phone that doesn't compromise, offers powerful performance, and looks gorgeous all at the same time?<br>
Then the bold new Moto X Style is for you.<br>
<br>
Immerse yourself in entertainment with an expansive 5.7-inch edge-to-edge display that's enhanced by rich stereo sound.<br>
<br>
With an all-day battery, TurboPower charging for an extra 10 hours of use in 15 minutes, and a water-repellant coating, your phone will be there for you, day and night, rain or shine.<br>
<br>
The Moto X Style boasts one of the best cameras in the industry. You can take crystal-clear photos and video with the 21-megapixel camera or look your best in selfies or video chats with the 5-megapixel front-facing camera featuring a wide angle lens and selfie flash.<br>
<br>
<b>*</b> Advanced nano-coating technology creates a water repellent barrier to help protect against moderate exposure to water, such as accidental spills, splashes, or light rain. Not designed to be submersed in water, or exposed to pressurised water or other liquids; not waterproof.<br>
<h2>Unboxing Photos</h2>
Please check out our <a href=""https://www.facebook.com/media/set/?set=a.1062816460396220.1073742106.199479523396589"" target=""_blank"">Facebook album</a> for reference.<br>
<br></span><ul id=""p_details""><li>Shipping Weight:<strong> 0.69kg</strong></li></ul></div></div>","Motorola Moto X Style XT1572 (Unlocked, 32GB, Black)",http://www.expansys.com.sg/motorola-moto-x-style-xt1572-unlocked-32gb-black-284813/,Motorola,http://i1.expansys.com/img/b/284813/motorola-moto-x-style-xt1572.jpg,"http://i.expansys.com/i/b/b284813.jpg,http://i.expansys.com/i/b/b284813-1.jpg,http://i.expansys.com/i/b/b284813-2.jpg,http://i.expansys.com/i/b/b284813-3.jpg",284813,SGD,2016-03-09 10:22:04,True,549.99,,"Home,Phablets"
90.0,"<div id=""description""><h2>Microsoft Lumia 950 XL RM-1085 Features</h2><div class=""trunc_wrap""><span itemprop=""description""><div class=""what_we_say""><br>
<h3>What we like about the Microsoft Lumia 950 XL:</h3><br>
<ul class=""for_list"">
<li><b>Windows 10 and the new software features</b></li>
<li><b>20MP intelligent sensor takes great pictures automatically</b></li>
<li><b>3340mAh battery with the new reversible USB Type-C for faster charging</b></li>
</ul><br>
</div><br>
With an octa-core processor and a 5.7"" Quad HD display, it's the most powerful phone ever built by Microsoft. With USB-C Fast Charging, an extra-large battery, and wireless charging, it's pure power that's easy to charge. Demanding apps, serious games, and the creativity tools you love – get a Lumia 950 XL and discover exciting new ways to do great things.<br>
<br>
 The moments you want to remember happen so fast. That's why the Microsoft Lumia 950 XL was designed with a 20 MP sensor that automatically reduces motion blur for sharper, more detailed photos. And with unique features like triple LED natural flash and Rich Capture auto mode, challenging lighting conditions won't stop you from turning magic moments into precious memories.    <br>
<br>
<h2>Unboxing Photos</h2>
Please check out our <a href=""https://www.facebook.com/media/set/?set=a.1081169825227550.1073742116.199479523396589"" target=""_blank"">Facebook album</a> for reference.<br>
<br></span><ul id=""p_details""><li>Shipping Weight:<strong> 0.62kg</strong></li></ul></div></div>","Microsoft Lumia 950 XL RM-1085 (Unlocked, 32GB, Black)",http://www.expansys.com.sg/microsoft-lumia-950-xl-rm-1085-unlocked-32gb-black-286184/,Microsoft,http://i1.expansys.com/img/b/286184/microsoft-lumia-950-xl-rm-1085.jpg,"http://i.expansys.com/i/b/b286184.jpg,http://i.expansys.com/i/b/b286184-1.jpg",286184,SGD,2016-03-09 10:22:06,True,709.99,,"Home,Mobile Phones,SIM Free Phones,Windows Phone,Windows 10"
90.0,"<div id=""description""><h2>YOTAPHONE 2 (YD201) LTE, 32GB, Black Features</h2><div class=""trunc_wrap""><span itemprop=""description""><b><u>Order now to get a free bumper case for your YotaPhone 2. Available only while supplies last.</u></b><br>
<br>
<b>YOTAPHONE 2 - The phone with two fronts</b><br>

The world's first double screen smartphone is here! Fully personalizable always-on screen. Hands-free messaging and mail. Reading time up to 100 hours. Full Android functionality on both screens. The smart-phone future. Now.<br>
<br>

<b>Catches your eye. Catches your information</b> <br>

Keep up with important information and notifications without unlocking your phone. Customise your dashboards on the always-on screen with state-of-the-art widgets. Check the markets. Tweet and be tweeted. Check the mail. Mail the cheque. And you'll scarcely lift a finger.<br>
<br>

<b>It's about time</b> <br>

YOTAPHONE 2 measures battery life not in hours but in days. Five days' reading on a single charge. 2 days' basic smartphone functions with the YotaEnergy app. Forgot your charger? It doesn't matter.<br>
<br>

<b>Life in the sun</b> <br>

Android screens can be almost impossible to read in bright sunlight. YOTAPHONE's EPD screen is perfectly readable even in the brightest sunshine: fiction, Facebook, Twitter, news, RSS-feeds, blogs, mail, messaging and absolutely everything else.<br>
<br></span><ul id=""p_details""><li>Release Date:<strong> Friday 23rd January 2015</strong></li><li>Shipping Weight:<strong> 0.52kg</strong></li></ul></div></div>","YOTAPHONE 2 (YD201) LTE, 32GB, Black (with Free Bumper Case, Free Shipping)",http://www.expansys.com.sg/yotaphone-2-yd201-lte-32gb-black-with-free-bumper-case-273215/,,http://i2.expansys.com/img/b/273215/yotaphone-2-yd201-lte-32gb-black.jpg,,273215,SGD,2016-03-09 10:22:06,True,635.00,,"Home,Mobile Phones,SIM Free Phones,Android,KitKat 4.4"
90.0,"<div id=""description""><h2>Google Nexus 5X LG-H791 Features</h2><div class=""trunc_wrap""><span itemprop=""description""><div class=""what_we_say""><br>
<h3>What we like about the Google Nexus 5X:</h3><br>
<ul class=""for_list"">
<li><b>Always the latest version of Android</b></li>
<li><b>Nexus Imprint associated to a fingerprint reader on the back of the device</b></li>
<li><b>USB type-C, the new USB standard for faster charging and data transfer</b></li>
</ul><br>
</div><br>Capturing the soul of the Nexus family, Nexus 5X offers top-line performance in a compact, lightweight device that's ready to take on the day with you. <br>
<br>
Capture your world in brilliant detail with a powerful camera and larger 1.55 µm pixels that catch more light, day or night.<br>
<br>
 Under the 5.2-inch display is a Qualcomm® Snapdragon™ 808 processor and a 2700 mAh battery, so videos, apps, and games look great and run fast, all day long. If you do get low, charging is quick with the USB Type-C plug. It's reversible, so there's no more guessing which way is up.<br>
<br>
Your Nexus 5X is quicker to access and more secure with a fingerprint sensor placed on the back to complement the way you naturally hold your phone. Unlock your phone and compatible apps with just one touch.<br>
<br>
 Built from the inside out to make the most of the world's most popular OS, Nexus is the ultimate Android experience. You'll have the freshest, fastest version, Android 6.0 Marshmallow, working for you right out of the box, and you'll always be among the first to get software updates.<br>
<br></span><ul id=""p_details""><li>Shipping Weight:<strong> 0.44kg</strong></li></ul></div></div>","Google Nexus 5X LG-H791 (Unlocked, 32GB, Carbon Black)",http://www.expansys.com.sg/google-nexus-5x-lg-h791-unlocked-32gb-carbon-black-287558/,Google,http://i2.expansys.com/img/b/287558/google-nexus-5x-lg-h791.jpg,"http://i.expansys.com/i/b/b287558.jpg,http://i.expansys.com/i/b/b287558-1.jpg,http://i.expansys.com/i/b/b287558-2.jpg,http://i.expansys.com/i/b/b287558-3.jpg,http://i.expansys.com/i/b/b287558-4.jpg",287558,SGD,2016-03-09 10:22:10,True,434.99,,"Home,Mobile Phones,SIM Free Phones,Android,Marshmallow 6.0"
90.0,"<div id=""description""><h2>ASUS ZenFone 2 Deluxe Dual SIM - ZE551ML Features</h2><div class=""trunc_wrap""><span itemprop=""description""><div class=""what_we_say""><br>
<h3>What we like about the ASUS ZenFone 2 Deluxe:</h3><br>
<ul class=""for_list"">
<li><b>A textured diamond-cut back cover</b></li>
<li><b>13MP PixelMaster camera with 5MP front camera and 140-degree selfie panorama</b></li>
<li><b>Powerful 1.8GHz quad core 64-bit Intel processor with 4GB RAM</b></li>
</ul><br>
</div>
ASUS ZenFone 2 introduces new and evolved aesthetic refinements, including a graceful curved case, which has a textured diamond-cut polygonal design that tapers to an incredibly thin 3.9mm at the edges to lend ZenFone 2 a bold yet elegant look.  <br>
<br>
ZenFone 2 has an incredibly sharp and vivid 5.5-inch Full HD IPS display with a 403 ppi pixel density and a wide 178-degree viewing angle, ensuring lifelike photos and videos and great-looking apps. ASUS TruVivid technology enhances display performance even more with bright, brilliant colors. The display has an ultra-narrow 3.3mm bezel, giving ZenFone 2 a remarkable 72% screen-to-body ratio for a maximised viewing experience, and is covered with Corning® Gorilla® Glass 3 for superior resistance to damage and fingerprints. An anti-fingerprint coating reduces friction by 30%, giving a luxuriously-smooth feel to touch gestures.<br>
<br>
ZenFone 2 is the world's first smartphone to give everyone the ability to completely customise it to match their personal style and usage preferences, including ASUS's ZenUI mobile user interface launcher, themes, fonts, icons, and more. ZenUI has many great new features — including ZenMotion, SnapView, Trend Micro™ security and ZenUI Instant Updates — that enhance usability; ensure security and privacy; and deliver a seamless user experience.<br>
<br></span><ul id=""p_details""><li>Shipping Weight:<strong> 0.44kg</strong></li></ul></div></div>","ASUS ZenFone 2 Deluxe Dual SIM - ZE551ML (Unlocked LTE, 16GB, White)",http://www.expansys.com.sg/asus-zenfone-2-deluxe-dual-sim-ze551ml-unlocked-lte-16gb-white-282123/,,http://i1.expansys.com/img/b/282123/asus-zenfone-2-deluxe-dual-sim-ze551ml.jpg,"http://i.expansys.com/i/b/b282123.jpg,http://i.expansys.com/i/b/b282123-1.jpg,http://i.expansys.com/i/b/b282123-2.jpg,http://i.expansys.com/i/b/b282123-3.jpg,http://i.expansys.com/i/b/b282123-4.jpg",282123,SGD,2016-03-09 10:22:17,True,334.99,,"Home,Mobile Phones,Dual SIM Phones"
100.0,"<div id=""description""><h2>BlackBerry Passport SQW100-4: RHR191LW Features</h2><div class=""trunc_wrap""><span itemprop=""description""><b>Large touch screen</b><br>
The BlackBerry® Passport has a large square touch screen that provides an amazing viewing and reading experience, giving you wider vision that unleashes your capabilities. It is designed for a better web browsing, reading, apps, editing and maps experience.
<ul>
 <li>Read more of an email without scrolling to respond faster</li>
 <li>See a full desktop web page on your screen</li>
 <li>View all details on a map to find where you want to go faster</li>
 <li>View and edit presentations and documents on the spot</li>
</ul>


<b>The new touch keyboard</b><br>
The BlackBerry Passport takes our iconic keyboard to the next level. The physical keyboard gives you more typing accuracy and leaves you more screen space for viewing. It is also touch-enabled, so you can perform many functions right on the keyboard. It’s responsive to touch so you can scroll web pages, flick to type or slide along the keys to move the cursor. Only BlackBerry can take a perfectly crafted keyboard and make it better.
<br>
<br>


<b>Battery power to keep up with you</b><br>
BlackBerry® is well known for amazing battery life. The BlackBerry® Passport delivers our best battery performance to date with an impressive 3450 mAh battery and optimization of power consumption in BlackBerry® 10. With up to 30 hours of battery life1, you can be confident your phone can keep going for as long as you need it to.
<br>
<br>


<b>Your personal assistant</b><br>
BlackBerry® Assistant allows you to manage your email, contacts, calendar and other BlackBerry 10 features through voice and text commands. It helps you to execute tasks quickly such as responding to important emails, scheduling a meeting or getting directions.
<br>
BlackBerry Assistant is intelligent enough to respond to you based on your situation. Speak freely to it and it will respond in kind. Type a query and it will respond simply with information on the screen. When you’re connected to Bluetooth in the car, it knows you can’t look at the screen and will interact with you completely eyes and hands free.
<br>
<br>


<b>Phone calls come to life</b><br>
Phone calls on the BlackBerry® Passport are the next best thing to an in-person conversation. It comes with powerful speakers and a quad microphone system. BlackBerry® Natural Sound Technology is built in to adapt Wi-Fi® and cellular call sound depending upon phone position and background noise. The result is unmatched sound quality that can make you feel like you are in the same room even if you are worlds apart.
<br>
<br>


<b>All your messages in one place</b><br>
BlackBerry® Hub is the one place to manage all your conversations – email, text, BBM™, phone calls, social media and more. The all-new instant actions feature will allow you to quickly organize and action your inbox without having to go into each individual message. Plus, BlackBerry Priority Hub will get to know you and how you use your smartphone, curating a view of the most important messages and notifications. And it’s always available with a single swipe to help you stay organized, in control and on top of all your conversations.
<br>
<br>


<b>Fast, rich browser</b><br>
The BlackBerry® Browser on BlackBerry 10 has been completely reinvented to help you quickly browse, read, and share online content. And with the BlackBerry Passport, you can see a full desktop web page on your screen. Pages load incredibly fast and render beautifully, making web pages easier to read.
</span><ul id=""p_details""><li>Shipping Weight:<strong> 0.48kg</strong></li></ul></div></div>","BlackBerry Passport SQW100-4: RHR191LW (Unlocked, 32GB, Silver)",http://www.expansys.com.sg/blackberry-passport-unlocked-32gb-silver-285605/,,http://i2.expansys.com/img/b/285605/blackberry-passport.jpg,"http://i.expansys.com/i/b/b285605.jpg,http://i.expansys.com/i/b/b285605-1.jpg,http://i.expansys.com/i/b/b285605-2.jpg,http://i.expansys.com/i/b/b285605-3.jpg,http://i.expansys.com/i/b/b285605-4.jpg",285605,SGD,2016-03-09 10:22:21,True,649.99,,"Home,Mobile Phones,SIM Free Phones"
100.0,"<div id=""description""><h2>Motorola Moto X Play XT1562 Dual SIM Features</h2><div class=""trunc_wrap""><span itemprop=""description""><div class=""what_we_say""><br>
<h3>What we like about the Motorola Moto X Play:</h3><br>
<ul class=""for_list"">
<li><b>More than a day of battery life</b></li>
<li><b>Pure Android experience</b></li>
<li><b>21 MP camera with rapid focus and colour-adjusting flash</b></li>
</ul><br>
</div><br>

With up to 48-hours of battery life and a water-repellent<b>*</b> design, Moto X Play will love you back day and night, rain or shine.
<br><br>Stay connected on your commute, at work, at play and whenever you need it most—and still have enough battery to get you into the next day.
<br><br> Take brilliant photos and stunning videos with its 21 megapixel camera, and show them off on the edge-to-edge 5.5-inch HD display.
<br><br>And living up to its name, get all the power you need for gaming, streaming and multi tasking at the speed of life with a Qualcomm® Snapdragon™ processor.<br>
<br>
<b>*</b> Advanced nano-coating technology creates a water repellent barrier to help protect against moderate exposure to water, such as accidental spills, splashes, or light rain. Not designed to be submersed in water, or exposed to pressurised water or other liquids; not waterproof.<br>
<br>
<h2>Unboxing Photos</h2>
Please check out our <a href=""https://www.facebook.com/media/set/?set=a.1050263004984899.1073742097.199479523396589"" target=""_blank"">Facebook album</a> for reference.<br>
<br></span><ul id=""p_details""><li>Shipping Weight:<strong> 0.33kg</strong></li></ul></div></div>","Motorola Moto X Play XT1562 Dual SIM (Unlocked LTE, 16GB, Black)",http://www.expansys.com.sg/motorola-moto-x-play-dual-sim-unlocked-16gb-black-283581/,Motorola,http://i1.expansys.com/img/b/283581/motorola-moto-x-play-dual-sim.jpg,"http://i.expansys.com/i/b/b283581.jpg,http://i.expansys.com/i/b/b283581-1.jpg,http://i.expansys.com/i/b/b283581-2.jpg",283581,SGD,2016-03-09 10:22:28,True,479.99,,"Home,Mobile Phones,Dual SIM Phones"
100.0,"<div id=""description""><h2>Samsung Galaxy Note5 (Dual SIM) SM-N9200 Features</h2><div class=""trunc_wrap""><span itemprop=""description""><div class=""what_we_say""><br>
<h3>What we like about the Samsung Galaxy Note5:</h3><br>
<ul class=""for_list"">
<li><b>Now slimmer, framed by sleek metal and glass</b></li>
<li><b>New designed and advanced S Pen</b></li>
<li><b>Perfect for multi-taskers</b></li>
</ul><br>
</div><br>
The Galaxy Note5 is a stunning upgrade to Samsung's flagship Galaxy Note line – more powerful and more personal than ever. Inspired by the design legacy of the Galaxy S6, it ergonomically fits in one hand with a narrower bezel and curved back. The flat screen is great to write on and the curved shape makes it easier to use the phone with one hand.<br>
<br>Engineered to help people get more done faster, the Galaxy Note5 includes all new S Pen that feels more solid and balanced in the user's hand, offering improved writing capabilities and a variety of practical tools. A unique clicking mechanism offers a joyful experience of popping the S Pen out with just one quick click. Users can now quickly jot down ideas or information when the screen is off without even unlocking the phone. 'Air Command' feature gets more intuitive and practical as well; now the icon hovers for instant access to all of S Pen tools from any screen at any time. Users can also annotate on PDF files and capture lengthy web articles or long images at once via 'Scroll capture.'<br>
<br>The Samsung Galaxy Note5 features unprecedented multimedia capabilities with deeper screen contrast and details through Samsung's industry-leading 5.7-inch Quad HD Super AMOLED display.<br>
<br>
* At any condition, only one SIM slot could support 4G or 3G network. Users can choose to enjoy 4G or 3G network with either SIM 1 or SIM 2 without changing the SIM card.<br>
<br></span><ul id=""p_details""><li>Shipping Weight:<strong> 0.47kg</strong></li></ul></div></div>","Samsung Galaxy Note5 (Dual SIM) SM-N9200 (Unlocked LTE, 64GB, Gold Platinum)",http://www.expansys.com.sg/samsung-galaxy-note5-dual-sim-sm-n9200-unlocked-lte-64gb-gold-platinum-284423/,Samsung,http://i1.expansys.com/img/b/284423/samsung-galaxy-note5-dual-sim-sm-n9200.jpg,"http://i.expansys.com/i/b/b284423.jpg,http://i.expansys.com/i/b/b284423-1.jpg,http://i.expansys.com/i/b/b284423-2.jpg,http://i.expansys.com/i/b/b284423-3.jpg,http://i.expansys.com/i/b/b284423-4.jpg",284423,SGD,2016-03-09 10:22:29,True,1.99,,"Home,Phablets"
,"<div id=""description""><h2>Jabra Sport Pulse Wireless Earbuds Features</h2><div class=""trunc_wrap""><span itemprop=""description""><ul class=""for_list"">
<li>Free your workout with premium wireless sound</li>
<li>Take your training to the next level using Heart Rate</li>
<li>Focus on your workout without distraction</li>
</ul>
<p> The Jabra Sport is a wireless Bluetooth headphone that offers a secure, comfortable fit is water, shock, and dust resistant and has built-in heart-rate monitor that works well. </p>
<b>IN-EAR HEART RATE MONITOR</b>
<p>
  Understanding your heart rate is now as simple as putting on your headphones.
  Jabra's next generation of heart rate monitoring technology measures your heart rate via your inner ear. They're the only earbuds proven to deliver clinical-grade accuracy.
  Sport Pulse ensures you always train at the right intensity level to improve your performance. Our dedicated Training Zone page shows how you can make the most out of Sport Pulse.
</p>

<b>FREE YOUR WORKOUT WITH IMMERSIVE WIRELESS SOUND</b>
<p>
   Exercise is about breaking free, so why let wires hold you back? Get fired-up by your favorite songs with immersive Dolby® sound.
   Control music playback, volume and take calls with a quick tap on the earbuds.
</p>

<b>BUILT FOR INTENSE WORKOUTS</b>
<p>
   Built towards US military rain, shock, sand and dust standards.
   ""Quite simply Pulse has the best fitting sports earbuds we've ever worn. We defy you to shake them out""
</p></span><ul id=""p_details""><li>Shipping Weight:<strong> 0.25kg</strong></li></ul></div></div>","Jabra Sport Pulse Wireless Earbuds (with In-Ear Heart Rate Monitor, Black)",http://www.expansys.com.sg/jabra-sport-pulse-wireless-earbuds-with-in-ear-heart-rate-monitor-286603/,,http://i1.expansys.com/img/b/286603/jabra-sport-pulse-wireless-earbuds.jpg,"http://i.expansys.com/i/b/b286603.jpg,http://i.expansys.com/i/b/b286603-1.jpg,http://i.expansys.com/i/b/b286603-2.jpg",286603,SGD,2016-03-09 10:22:46,True,186.99,,"Home,Mobile Phones,Phone Accessories,Headsets & Headphones – Bluetooth"
,"<div id=""description""><h2>Apple iPad Pro A1652 Features</h2><div class=""trunc_wrap""><span itemprop=""description""><div class=""what_we_say""><br>
<h3>What we like about the Apple iPad Pro:</h3><br>
<ul class=""for_list"">
<li><b>Apple's largest ever iPad with a 12.9-inch Retina display</b></li>
<li><b>Incredibly slim and light at 6.9mm thin and 713 grams</b></li>
<li><b>Remarkable Apple Pencil for smart drawing and sketching</b></li>
</ul><br>
<br>
</div></span><ul id=""p_details""><li>Shipping Weight:<strong> 1.30kg</strong></li></ul></div></div>","Apple iPad Pro A1652 (LTE, 128GB, Gold)",http://www.expansys.com.sg/apple-ipad-pro-a1652-lte-128gb-gold-285855/,,http://i2.expansys.com/img/b/285855/apple-ipad-pro-a1652.jpg,,285855,SGD,2016-03-09 10:22:52,True,1.99,,"Home,Tablet PCs & iPads,Tablets,iPads"
